sample_index_202,sample_uid,timestamp,sample_time,latitude,longitude,depth_m,station,sample,source_file,match_status,hplc_repository_url
37,paceera_agg|144,20240917T21:08:00,2024-09-17T21:08:00,33.5828,-118.1177,0.5,16,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
38,paceera_agg|37,20240917T21:54:00,2024-09-17T21:54:00,34.331,-119.5653,0.0,19,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
39,paceera_agg|39,20240918T17:13:00,2024-09-18T17:13:00,34.3491,-120.05379999999998,0.0,20,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
40,paceera_agg|145,20240918T19:20:00,2024-09-18T19:20:00,33.5615,-118.11539999999998,0.5,17,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
41,paceera_agg|40,20240918T19:31:00,2024-09-18T19:31:00,34.2982,-119.7546,0.0,21,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
42,paceera_agg|146,20240918T20:54:00,2024-09-18T20:54:00,33.5802,-118.0614,0.5,18,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
43,paceera_agg|41,20240918T22:06:00,2024-09-18T22:06:00,34.2896,-119.5274,0.0,22,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
44,paceera_agg|42,20240919T18:18:00,2024-09-19T18:18:00,34.2506,-119.7632,0.0,23,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
45,paceera_agg|147,20240919T20:44:00,2024-09-19T20:44:00,33.5818,-118.1235,0.5,19,,90f845d490_PACE-PAX_BLISSFULLY_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
46,paceera_agg|43,20240919T20:54:00,2024-09-19T20:54:00,34.2772,-119.6762,0.0,24,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
47,paceera_agg|44,20240920T16:51:00,2024-09-20T16:51:00,34.2531,-119.8045,0.0,25,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
48,paceera_agg|45,20240920T18:07:00,2024-09-20T18:07:00,34.3736,-119.9479,0.0,26,,80370ff860_PACE-PAX_SHEARWATER_HPLC_NASA_R1.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
49,paceera_agg|11,20240920T19:59:00,2024-09-20T19:59:00,34.3075,-119.8873,0.5,4_6,SM006-1|SM006-2|SM006-3,2d6043f9f9_PACE-PAX_SBCR_1-6_HPLC.csv,matched,<HPLC_OPEN_REPOSITORY_URL>
50,paceera_agg|46,20240920T20:24:00,2024-09-20T20:24:00,34.3606,-119.71999999999998,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
51,paceera_agg|12,20240920T20:45:00,2024-09-20T20:45:00,34.3014,-119.8143,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
52,paceera_agg|47,20240921T21:17:00,2024-09-21T21:17:00,33.6046,-119.4343,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
53,paceera_agg|48,20240922T18:16:00,2024-09-22T18:16:00,33.6813,-119.557,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
54,paceera_agg|49,20240922T20:24:00,2024-09-22T20:24:00,33.6205,-119.4671,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
55,paceera_agg|50,20240923T16:44:00,2024-09-23T16:44:00,34.2938,-119.8578,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
56,paceera_agg|51,20240923T19:10:00,2024-09-23T19:10:00,34.2142,-119.5823,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
57,paceera_agg|52,20240925T18:45:00,2024-09-25T18:45:00,34.1156,-119.6838,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
58,paceera_agg|53,20240925T20:11:00,2024-09-25T20:11:00,34.1022,-119.6402,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
59,paceera_agg|54,20240925T21:57:00,2024-09-25T21:57:00,34.1882,-119.6986,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
60,paceera_agg|55,20240925T23:12:00,2024-09-25T23:12:00,34.3103,-119.6844,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
61,paceera_agg|56,20240926T16:39:00,2024-09-26T16:39:00,34.1884,-119.6293,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
62,paceera_agg|58,20240926T20:15:00,2024-09-26T20:15:00,34.337,-119.649,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
63,paceera_agg|133,20241018T19:30:00,2024-10-18T19:30:00,34.30086,-119.65326,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
64,paceera_agg|134,20241018T20:15:00,2024-10-18T20:15:00,34.3408256,-119.6309658,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
65,paceera_agg|135,20241024T19:20:00,2024-10-24T19:20:00,34.34969,-119.68314,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
66,paceera_agg|136,20241024T20:12:00,2024-10-24T20:12:00,34.31484,-119.72215,,,,,unmatched,<HPLC_OPEN_REPOSITORY_URL>
